thr-2-0.8,thr,2-0.8,4.87,NaN,0.002,55.05,51.473,NaN,0.001,50.116,45.794,0.232,0.177,0.003,51.626,0.01,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.603,NaN,0.002,27.588,155.505,NaN,0.001,154.33,139.701,0.106,0.052,0.003,0.042,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.667,NaN,0.003,55.293,64.297,NaN,0.001,63.194,55.535,0.128,0.058,0.001,0.033,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.655,NaN,0.002,24.271,31.685,NaN,0.001,30.797,29.663,0.139,0.092,0.001,0.03,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.679,NaN,0.002,82.864,28.832,NaN,0.001,27.528,26.337,0.121,0.072,0.001,0.032,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.598,NaN,0.002,54.988,28.604,NaN,0.001,27.431,26.43,0.139,0.08,0.003,5.243,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.892,NaN,0.002,82.657,28.649,NaN,0.001,27.539,26.446,0.132,0.072,0.001,4.451,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.316,NaN,0.002,55.314,28.591,NaN,0.001,27.703,26.343,0.435,0.069,0.001,0.028,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.432,NaN,0.002,55.308,28.433,NaN,0.001,27.544,26.419,0.144,0.083,0.001,0.031,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.315,NaN,0.002,82.513,28.494,NaN,0.001,27.513,26.434,0.137,0.073,0.001,0.025,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.311,NaN,0.002,27.439,28.524,NaN,0.001,27.629,26.44,0.593,0.069,0.001,0.027,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.402,NaN,0.002,275.605,31.695,NaN,0.001,30.82,26.423,0.111,0.059,0.001,0.025,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.779,NaN,0.002,27.663,32.259,NaN,0.001,31.073,26.43,0.143,0.076,0.001,0.026,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.806,NaN,0.002,55.593,28.657,NaN,0.001,27.588,26.433,0.135,0.07,0.001,0.029,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,57.181,NaN,0.001,27.402,28.72,NaN,0.001,27.702,29.646,0.122,0.065,0.001,0.029,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,1.887,NaN,0.003,27.546,28.549,NaN,0.001,27.479,29.67,0.099,0.052,0.001,64.339,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,1.544,NaN,0.002,27.828,28.543,NaN,0.001,27.613,26.428,0.111,0.059,0.001,0.038,0.001,0.001,0.001,0.001
